region	sex	age_band	count
Świętokrzyskie	female	18-19	11188
Świętokrzyskie	female	20-24	26892
Świętokrzyskie	female	25-29	27508
Świętokrzyskie	female	30-34	30611
Świętokrzyskie	female	35-39	37279
Świętokrzyskie	female	40-44	45886
Świętokrzyskie	female	45-49	45168
Świętokrzyskie	female	50-54	40791
Świętokrzyskie	female	55-59	36043
Świętokrzyskie	female	60-64	37977
Świętokrzyskie	female	65-74	88280
Świętokrzyskie	female	75-89	64198
Świętokrzyskie	female	90+	8261
Świętokrzyskie	male	0-14	74837
Świętokrzyskie	male	15-17	19734
Świętokrzyskie	male	18-19	11745
Świętokrzyskie	male	20-24	28073
Świętokrzyskie	male	25-29	29949
Świętokrzyskie	male	30-34	34256
Świętokrzyskie	male	35-39	40387
Świętokrzyskie	male	40-44	48072
Świętokrzyskie	male	45-49	46883
Świętokrzyskie	male	50-54	41247
Świętokrzyskie	male	55-59	34626
Świętokrzyskie	male	60-64	34920
Świętokrzyskie	male	65-74	72030
Świętokrzyskie	male	75-89	37678
Świętokrzyskie	male	90+	2742
